00:00:00:05.07,5088
00:00:00:08.68,8692
00:00:00:22.65,22660
00:00:00:02.05,2502
00:00:00:07.83,7833
00:00:00:17.23,17233
00:00:00:01.87,1878
00:00:00:05.61,5616
00:00:00:14.08,14084
00:00:00:06.06,6061
00:00:00:12.19,12193
00:00:00:16.86,16866
00:00:00:10.25,10253
